MaxPeriod(ms),MinPeriod(ms),AvgPeriod(ms),Amount,Service,Operation
6133,4371,5252,2,AgentService,agentWS/startFraudResultManual
61,2,8,60,ApplicationService,cacheWS/refresh
2680,23,355,60,ApplicationService,cacheWS/start
345,3,27,384,CommonService,ConfHomeBuilderWS/getConfHomeBuilder
13265,187,529,384,CommonService,ConfHousingGradeWS/getConfHousingGrade
7373,78,427,113,CommonService,ConfMrtaInterestWS/getConfMrtaInterest
357,1,13,894,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
10734,15,4857,62,CommonService,KbmfOnlineCatsWS/InquiryCollateral
1552,110,204,52,CommonService,KbmfOnlineCatsWS/InquiryROLDetail
9007,3787,5020,13,CommonService,LoanWS/getHomeLendingLimit
38,1,4,367,CommonService,PartInstPeriodWS/getConfPartInstPeriod
159,11,36,53,CommonService,RolWS/confirmROL
922,6,207,71,CommonService,RolWS/getCollteral
125,6,24,70,CommonService,RolWS/getConfHousingAppraisal
317,295,306,2,CommonService,UnsecureWS/bypassLogin
1806,5,69,931,CommonService,UnsecureWS/login
129,11,37,11,CommonService,WorkflowWS/changeApprove020ApproveType
230,5,16,102,CommonService,WorkflowWS/getApprove020ApproveType
139,19,40,37,CommonService,WorkflowWS/getDefaultPoolList
4688,3,208,1434,CommonService,WorkflowWS/listUserInbox
259,2,5,718,CommonService,WorkflowWS/logout
1251,4,148,1341,CommonService,WorkflowWS/openCaseByAppNo
576,576,576,1,CommonService,additionalDocumentWS/addDocument
864,864,864,1,CommonService,additionalDocumentWS/addInterestRateReductionDocument
102,102,102,1,CommonService,additionalDocumentWS/deleteDocument
262,262,262,1,CommonService,additionalDocumentWS/deleteInterestRateReductionDocument
333,333,333,1,CommonService,additionalDocumentWS/editInterestRateReductionDocument
7306,6,192,1194,CommonService,addressWS/getAllAddress
1407,105,216,723,CommonService,addressWS/getAllDIHDistrict
299,5,35,723,CommonService,addressWS/getAllDIHProvince
22185,529,899,723,CommonService,addressWS/getAllDIHSubDistrict
102,5,14,162,CommonService,applicationCaseWS/applicationExternalService
68,5,33,19,CommonService,applicationCaseWS/applicationRiskChecking
117,68,92,3,CommonService,applicationCaseWS/deleteApplicationRiskList
354,109,231,2,CommonService,applicationCaseWS/getApplicationHistory
25147,28,305,433,CommonService,applicationCaseWS/getApplicationStatus
60,6,38,12,CommonService,applicationCaseWS/getApplicationSuspectRiskList
156,5,22,80,CommonService,applicationCaseWS/getAppointmentFromAppointmentTable
6053,4,916,82,CommonService,applicationCaseWS/getAppointmentInfo
479,71,182,144,CommonService,applicationCaseWS/getApproverTable
24833,39,198,408,CommonService,applicationCaseWS/getCreditorsTable
539,10,218,67,CommonService,applicationCaseWS/getEmployeeOfSpecificBranch
82,5,24,9,CommonService,applicationCaseWS/getInterestRateReductionDocument
704,9,319,67,CommonService,applicationCaseWS/getManagerOfSpecificBranch
88,5,15,172,CommonService,applicationCaseWS/getSmartServeCaseId
67,9,18,13,CommonService,applicationCaseWS/getWitness1ForDsa
67,7,17,13,CommonService,applicationCaseWS/getWitness2ForDsa
1263,31,455,4,CommonService,applicationCaseWS/reSendMQMessages
100,100,100,1,CommonService,applicationCaseWS/saveApplicationRiskCheckingDetail
671,46,209,206,CommonService,atomicWS/registerSestionService
90,69,79,2,CommonService,confResubmitReasonWS/confResubmitReason
3241,3241,3241,1,CommonService,connectCloudPrintWS/printPdfNcbReject
2479,462,1319,4,CommonService,connectCloudPrintWS/printPdfOtherReject
91,10,36,7,CommonService,csvWS/download
46,32,41,4,CommonService,csvWS/upload
19,14,16,3,CommonService,customerWS/createUpdateCustomer
5501,113,1116,197,CommonService,customerWS/findCustomerFromCIS
1307,205,757,11,CommonService,customerWS/findCustomerFromIdentDocNo
1690,6,794,18,CommonService,customerWS/findCustomerList
9888,812,5237,12,CommonService,customerWS/findWealthDetails
30281,4,8419,94,CommonService,customerWS/getDeductAccountDetails
4385,4,58,496,CommonService,customerWS/getInquiryTable
8527,14,5729,5,CommonService,customerWS/getODAccountDetails
1853,5,84,53,CommonService,customerWS/inquiryForeignerCustomer
27316,28,5497,29,CommonService,decisionEngineWS/getLoanCal
5306,667,1464,143,CommonService,decisionEngineWS/getPolicy
175,11,40,15,CommonService,documentWS/getDocGroupFollowUpHistoryByflpRefId
67,25,35,6,CommonService,documentWS/viewContent
88,2,13,126,CommonService,dropdownWS/getAppStatusDropdown
103,59,75,3,CommonService,dropdownWS/getConfDQEProvinceRelation
233,1,6,351,CommonService,dropdownWS/getConfKdmsDocumentDropDown
79,1,15,160,CommonService,dropdownWS/getConfValueList
36009,131,475,423,CommonService,dropdownWS/getDihRCAll
4679,159,3811,12,CommonService,dropdownWS/getDimBolOrg
812,1,23,3740,CommonService,dropdownWS/getDropdown
150,3,9,369,CommonService,dropdownWS/getRejectReasonDropdown
149,7,52,50,CommonService,employeeWS/findBranchEmployee
245,6,26,33,CommonService,employeeWS/findDSAEmployee
32,17,22,3,CommonService,fileStorageWS/getPdfBlob
1004,7,37,171,CommonService,messageCodeWS/getAllMessage
73,45,51,7,CommonService,relationshipWS/deleteCustomer
304,57,103,18,CommonService,relationshipWS/findObjBySubjRelationship
17,7,10,11,CommonService,relationshipWS/findRelationByObjNSubj
175,12,54,45,CommonService,relationshipWS/getCustomerWealthAsset
173,17,57,45,CommonService,relationshipWS/getCustomerWealthKbank
253,12,59,45,CommonService,relationshipWS/getCustomerWealthOther
516,112,274,24,CommonService,relationshipWS/saveBorrowerCustomerProfile
5225,97,1139,5,CommonService,relationshipWS/saveRelationCustomerProfile
97,45,63,3,CommonService,relationshipWS/saveRelationship
292,6,26,122,CommonService,resubmitReasonWS/doFindAppStatus
64,32,48,2,CommonService,resubmitReasonWS/doFindByAppNo
275,275,275,1,CommonService,resubmitReasonWS/doUpdateApplication
250,250,250,1,CommonService,resubmitReasonWS/resubmitReason
148,32,75,3,CommonService,searchByCollateralWS/searchByCollateral
700,7,29,2391,CommonService,statusRejectWS/getRejectList
27,25,26,2,HomeLoanService,HomeLoanWS/doBack/approve-020/approve-decision
219,18,118,2,HomeLoanService,HomeLoanWS/doBack/approve-020/relationship
63,63,63,1,HomeLoanService,HomeLoanWS/doBack/approve-020/verify-summary
128,44,89,4,HomeLoanService,HomeLoanWS/doBack/approve-030/approve-decision
87,55,72,3,HomeLoanService,HomeLoanWS/doBack/approve-030/verify-income
150,47,93,6,HomeLoanService,HomeLoanWS/doBack/approve-030/verify-summary
13,13,13,1,HomeLoanService,HomeLoanWS/doBack/approve-055/collateral-acting
63,63,63,1,HomeLoanService,HomeLoanWS/doBack/approve-070/credit-exposure
72,69,70,2,HomeLoanService,HomeLoanWS/doBack/approve-070/relationship
72,72,72,1,HomeLoanService,HomeLoanWS/doBack/approve-070/verify-income
71,65,68,2,HomeLoanService,HomeLoanWS/doBack/approve-070/verify-summary
333,333,333,1,HomeLoanService,HomeLoanWS/doBack/post-approve-010/approve-result-front
19,19,19,1,HomeLoanService,HomeLoanWS/doBack/prepare-012/summary-result
21,8,15,9,HomeLoanService,HomeLoanWS/doBack/prepare-020/income
167,11,43,8,HomeLoanService,HomeLoanWS/doBack/prepare-020/loan-info
60,15,29,7,HomeLoanService,HomeLoanWS/doBack/prepare-020/personal-info
42,18,27,7,HomeLoanService,HomeLoanWS/doBack/prepare-021/package
84,12,27,32,HomeLoanService,HomeLoanWS/doBack/prepare-021/summary-package
161,10,60,4,HomeLoanService,HomeLoanWS/doBack/prepare-022/summary-package
49,7,28,6,HomeLoanService,HomeLoanWS/doBack/prepare-030/sale-channel
56,41,49,3,HomeLoanService,HomeLoanWS/doBack/prepare-030/summary-result
46,17,36,5,HomeLoanService,HomeLoanWS/doCancel/prepare-010
107,36,62,4,HomeLoanService,HomeLoanWS/doCancel/prepare-011
59,59,59,1,HomeLoanService,HomeLoanWS/doCancel/prepare-012
242,31,109,3,HomeLoanService,HomeLoanWS/doCancel/prepare-030
190,25,60,14,HomeLoanService,HomeLoanWS/doNavigate/prepare-021
146,28,87,2,HomeLoanService,HomeLoanWS/doNavigate/prepare-022
286,26,96,29,HomeLoanService,HomeLoanWS/doNavigate/prepare-030
45,16,25,12,HomeLoanService,HomeLoanWS/doNext/approve-010/credit-limit-detail
2663,853,1653,21,HomeLoanService,HomeLoanWS/doNext/approve-010/verify-document
320,16,39,45,HomeLoanService,HomeLoanWS/doNext/approve-020/application-detail
1525,38,223,63,HomeLoanService,HomeLoanWS/doNext/approve-020/approve-decision
286,30,81,47,HomeLoanService,HomeLoanWS/doNext/approve-020/collateral-acting
279,18,72,62,HomeLoanService,HomeLoanWS/doNext/approve-020/credit-exposure
264,14,63,76,HomeLoanService,HomeLoanWS/doNext/approve-020/credit-limit-detail
396,23,112,59,HomeLoanService,HomeLoanWS/doNext/approve-020/debt-exposure
341,56,111,65,HomeLoanService,HomeLoanWS/doNext/approve-020/partial-installment
277,15,72,63,HomeLoanService,HomeLoanWS/doNext/approve-020/relationship
6432,17,2743,61,HomeLoanService,HomeLoanWS/doNext/approve-020/verify-customer
89600,834,4956,35,HomeLoanService,HomeLoanWS/doNext/approve-020/verify-document
8126,95,2830,59,HomeLoanService,HomeLoanWS/doNext/approve-020/verify-hr
428,19,83,66,HomeLoanService,HomeLoanWS/doNext/approve-020/verify-income
17809,6,2838,66,HomeLoanService,HomeLoanWS/doNext/approve-020/verify-summary
6126,73,2651,59,HomeLoanService,HomeLoanWS/doNext/approve-020/verify-website
328,14,78,25,HomeLoanService,HomeLoanWS/doNext/approve-030/application-detail
1048,37,318,76,HomeLoanService,HomeLoanWS/doNext/approve-030/approve-decision
325,41,108,27,HomeLoanService,HomeLoanWS/doNext/approve-030/collateral-acting
319,39,106,38,HomeLoanService,HomeLoanWS/doNext/approve-030/credit-exposure
425,44,116,37,HomeLoanService,HomeLoanWS/doNext/approve-030/credit-limit-detail
525,48,181,42,HomeLoanService,HomeLoanWS/doNext/approve-030/debt-exposure
608,66,133,55,HomeLoanService,HomeLoanWS/doNext/approve-030/partial-installment
366,44,112,37,HomeLoanService,HomeLoanWS/doNext/approve-030/relationship
10329,149,4289,34,HomeLoanService,HomeLoanWS/doNext/approve-030/verify-customer
8028,1444,3487,37,HomeLoanService,HomeLoanWS/doNext/approve-030/verify-document
10484,130,4256,34,HomeLoanService,HomeLoanWS/doNext/approve-030/verify-hr
570,38,124,46,HomeLoanService,HomeLoanWS/doNext/approve-030/verify-income
10413,131,4311,37,HomeLoanService,HomeLoanWS/doNext/approve-030/verify-summary
8506,129,4354,36,HomeLoanService,HomeLoanWS/doNext/approve-030/verify-website
23,23,23,1,HomeLoanService,HomeLoanWS/doNext/approve-040/application-detail
543,192,306,7,HomeLoanService,HomeLoanWS/doNext/approve-040/approve-decision
92,92,92,1,HomeLoanService,HomeLoanWS/doNext/approve-040/collateral-acting
186,53,113,5,HomeLoanService,HomeLoanWS/doNext/approve-040/credit-exposure
113,63,82,5,HomeLoanService,HomeLoanWS/doNext/approve-040/credit-limit-detail
266,132,187,5,HomeLoanService,HomeLoanWS/doNext/approve-040/debt-exposure
300,95,148,6,HomeLoanService,HomeLoanWS/doNext/approve-040/partial-installment
96,53,72,6,HomeLoanService,HomeLoanWS/doNext/approve-040/relationship
3516,3016,3142,5,HomeLoanService,HomeLoanWS/doNext/approve-040/verify-customer
5354,2548,3641,5,HomeLoanService,HomeLoanWS/doNext/approve-040/verify-document
3729,2945,3209,4,HomeLoanService,HomeLoanWS/doNext/approve-040/verify-hr
130,89,102,4,HomeLoanService,HomeLoanWS/doNext/approve-040/verify-income
5871,3045,3934,4,HomeLoanService,HomeLoanWS/doNext/approve-040/verify-summary
4945,2928,3942,4,HomeLoanService,HomeLoanWS/doNext/approve-040/verify-website
194,28,93,7,HomeLoanService,HomeLoanWS/doNext/approve-055/collateral-acting
4185,2736,3313,4,HomeLoanService,HomeLoanWS/doNext/approve-055/verify-document
877,109,352,34,HomeLoanService,HomeLoanWS/doNext/approve-060/approve-decision
363,49,134,29,HomeLoanService,HomeLoanWS/doNext/approve-060/collateral-acting
246,21,104,30,HomeLoanService,HomeLoanWS/doNext/approve-060/credit-exposure
225,37,108,29,HomeLoanService,HomeLoanWS/doNext/approve-060/credit-limit-detail
966,50,210,32,HomeLoanService,HomeLoanWS/doNext/approve-060/debt-exposure
434,70,147,33,HomeLoanService,HomeLoanWS/doNext/approve-060/partial-installment
292,36,111,29,HomeLoanService,HomeLoanWS/doNext/approve-060/relationship
9440,133,4352,23,HomeLoanService,HomeLoanWS/doNext/approve-060/verify-customer
12320,1429,3850,25,HomeLoanService,HomeLoanWS/doNext/approve-060/verify-document
10361,128,4373,25,HomeLoanService,HomeLoanWS/doNext/approve-060/verify-hr
693,18,135,29,HomeLoanService,HomeLoanWS/doNext/approve-060/verify-income
10994,119,4227,28,HomeLoanService,HomeLoanWS/doNext/approve-060/verify-summary
11196,97,4320,27,HomeLoanService,HomeLoanWS/doNext/approve-060/verify-website
504,248,370,3,HomeLoanService,HomeLoanWS/doNext/approve-070/approve-decision
95,80,86,3,HomeLoanService,HomeLoanWS/doNext/approve-070/collateral-acting
73,60,66,2,HomeLoanService,HomeLoanWS/doNext/approve-070/credit-exposure
78,68,73,3,HomeLoanService,HomeLoanWS/doNext/approve-070/credit-limit-detail
269,120,175,3,HomeLoanService,HomeLoanWS/doNext/approve-070/debt-exposure
123,106,117,3,HomeLoanService,HomeLoanWS/doNext/approve-070/partial-installment
189,58,105,4,HomeLoanService,HomeLoanWS/doNext/approve-070/relationship
3284,3025,3154,2,HomeLoanService,HomeLoanWS/doNext/approve-070/verify-customer
2762,2656,2709,2,HomeLoanService,HomeLoanWS/doNext/approve-070/verify-document
3121,3033,3077,2,HomeLoanService,HomeLoanWS/doNext/approve-070/verify-hr
122,71,88,5,HomeLoanService,HomeLoanWS/doNext/approve-070/verify-income
3138,3021,3065,4,HomeLoanService,HomeLoanWS/doNext/approve-070/verify-summary
3011,2962,2988,3,HomeLoanService,HomeLoanWS/doNext/approve-070/verify-website
2708,1956,2410,3,HomeLoanService,HomeLoanWS/doNext/post-approve-010/summary-result
11539,30,3640,71,HomeLoanService,HomeLoanWS/doNext/prepare-010/cust-info
839,11,165,93,HomeLoanService,HomeLoanWS/doNext/prepare-020/income
1268,61,307,82,HomeLoanService,HomeLoanWS/doNext/prepare-020/personal-info
5191,413,1229,108,HomeLoanService,HomeLoanWS/doNext/prepare-021/package
602,22,108,109,HomeLoanService,HomeLoanWS/doNext/prepare-030/sale-channel
499,65,204,24,HomeLoanService,HomeLoanWS/doPreload/approve-010/application-detail
702,221,375,12,HomeLoanService,HomeLoanWS/doPreload/approve-010/collateral-acting
457,114,227,13,HomeLoanService,HomeLoanWS/doPreload/approve-010/credit-exposure
220,75,125,13,HomeLoanService,HomeLoanWS/doPreload/approve-010/credit-limit-detail
336,84,193,13,HomeLoanService,HomeLoanWS/doPreload/approve-010/cust-info
811,183,348,11,HomeLoanService,HomeLoanWS/doPreload/approve-010/debt-exposure
213,213,213,1,HomeLoanService,HomeLoanWS/doPreload/approve-010/loan-info
1758,326,582,12,HomeLoanService,HomeLoanWS/doPreload/approve-010/partial-installment
1497,13,373,21,HomeLoanService,HomeLoanWS/doPreload/approve-010/relationship
1139,816,977,2,HomeLoanService,HomeLoanWS/doPreload/approve-010/summary-result
1300,312,588,76,HomeLoanService,HomeLoanWS/doPreload/approve-010/verify-document
489,51,141,68,HomeLoanService,HomeLoanWS/doPreload/approve-020/application-detail
4110,76,694,88,HomeLoanService,HomeLoanWS/doPreload/approve-020/approve-decision
6638,293,831,90,HomeLoanService,HomeLoanWS/doPreload/approve-020/approve-summary
70,7,18,47,HomeLoanService,HomeLoanWS/doPreload/approve-020/basic-repayment-ability
2523,95,468,130,HomeLoanService,HomeLoanWS/doPreload/approve-020/collateral-acting
1628,97,302,70,HomeLoanService,HomeLoanWS/doPreload/approve-020/credit-exposure
598,66,164,82,HomeLoanService,HomeLoanWS/doPreload/approve-020/credit-limit-detail
6336,82,534,63,HomeLoanService,HomeLoanWS/doPreload/approve-020/cust-info
2616,125,613,59,HomeLoanService,HomeLoanWS/doPreload/approve-020/debt-exposure
6320,83,568,46,HomeLoanService,HomeLoanWS/doPreload/approve-020/income
2046,10,409,48,HomeLoanService,HomeLoanWS/doPreload/approve-020/loan-info
1946,312,693,61,HomeLoanService,HomeLoanWS/doPreload/approve-020/partial-installment
3806,82,554,46,HomeLoanService,HomeLoanWS/doPreload/approve-020/personal-info
11552,22,453,271,HomeLoanService,HomeLoanWS/doPreload/approve-020/policy-check
25294,98,683,103,HomeLoanService,HomeLoanWS/doPreload/approve-020/relationship
157,22,42,44,HomeLoanService,HomeLoanWS/doPreload/approve-020/sale-channel
2775,277,639,44,HomeLoanService,HomeLoanWS/doPreload/approve-020/summary-package
4840,6,955,53,HomeLoanService,HomeLoanWS/doPreload/approve-020/summary-result
3515,82,310,142,HomeLoanService,HomeLoanWS/doPreload/approve-020/verify-customer
1852,382,645,58,HomeLoanService,HomeLoanWS/doPreload/approve-020/verify-document
3433,83,336,61,HomeLoanService,HomeLoanWS/doPreload/approve-020/verify-hr
2574,183,456,65,HomeLoanService,HomeLoanWS/doPreload/approve-020/verify-income
3767,85,415,64,HomeLoanService,HomeLoanWS/doPreload/approve-020/verify-summary
3876,85,379,64,HomeLoanService,HomeLoanWS/doPreload/approve-020/verify-website
473,55,133,57,HomeLoanService,HomeLoanWS/doPreload/approve-030/application-detail
11776,92,970,174,HomeLoanService,HomeLoanWS/doPreload/approve-030/approve-decision
3707,328,875,127,HomeLoanService,HomeLoanWS/doPreload/approve-030/approve-summary
162,7,45,29,HomeLoanService,HomeLoanWS/doPreload/approve-030/basic-repayment-ability
1760,105,350,44,HomeLoanService,HomeLoanWS/doPreload/approve-030/collateral-acting
780,138,302,38,HomeLoanService,HomeLoanWS/doPreload/approve-030/credit-exposure
698,97,244,43,HomeLoanService,HomeLoanWS/doPreload/approve-030/credit-limit-detail
4212,80,422,67,HomeLoanService,HomeLoanWS/doPreload/approve-030/cust-info
3631,152,773,46,HomeLoanService,HomeLoanWS/doPreload/approve-030/debt-exposure
3568,83,390,28,HomeLoanService,HomeLoanWS/doPreload/approve-030/income
1420,164,454,30,HomeLoanService,HomeLoanWS/doPreload/approve-030/loan-info
2681,346,814,60,HomeLoanService,HomeLoanWS/doPreload/approve-030/partial-installment
7775,15,453,33,HomeLoanService,HomeLoanWS/doPreload/approve-030/personal-info
6138,8,786,254,HomeLoanService,HomeLoanWS/doPreload/approve-030/policy-check
913,109,300,42,HomeLoanService,HomeLoanWS/doPreload/approve-030/relationship
164,5,71,22,HomeLoanService,HomeLoanWS/doPreload/approve-030/sale-channel
1824,295,742,29,HomeLoanService,HomeLoanWS/doPreload/approve-030/summary-package
5093,515,1112,26,HomeLoanService,HomeLoanWS/doPreload/approve-030/summary-result
836,113,287,39,HomeLoanService,HomeLoanWS/doPreload/approve-030/verify-customer
1785,346,645,51,HomeLoanService,HomeLoanWS/doPreload/approve-030/verify-document
1151,108,306,40,HomeLoanService,HomeLoanWS/doPreload/approve-030/verify-hr
1219,177,378,42,HomeLoanService,HomeLoanWS/doPreload/approve-030/verify-income
897,112,297,41,HomeLoanService,HomeLoanWS/doPreload/approve-030/verify-summary
834,110,281,40,HomeLoanService,HomeLoanWS/doPreload/approve-030/verify-website
179,97,141,6,HomeLoanService,HomeLoanWS/doPreload/approve-040/application-detail
1054,742,914,7,HomeLoanService,HomeLoanWS/doPreload/approve-040/approve-decision
1107,565,728,7,HomeLoanService,HomeLoanWS/doPreload/approve-040/approve-summary
51,14,32,2,HomeLoanService,HomeLoanWS/doPreload/approve-040/basic-repayment-ability
1118,173,466,6,HomeLoanService,HomeLoanWS/doPreload/approve-040/collateral-acting
370,150,269,7,HomeLoanService,HomeLoanWS/doPreload/approve-040/credit-exposure
485,128,202,6,HomeLoanService,HomeLoanWS/doPreload/approve-040/credit-limit-detail
322,228,275,2,HomeLoanService,HomeLoanWS/doPreload/approve-040/cust-info
1386,347,866,7,HomeLoanService,HomeLoanWS/doPreload/approve-040/debt-exposure
294,231,262,2,HomeLoanService,HomeLoanWS/doPreload/approve-040/income
322,269,295,2,HomeLoanService,HomeLoanWS/doPreload/approve-040/loan-info
1207,533,780,6,HomeLoanService,HomeLoanWS/doPreload/approve-040/partial-installment
299,231,265,2,HomeLoanService,HomeLoanWS/doPreload/approve-040/personal-info
4259,348,1020,20,HomeLoanService,HomeLoanWS/doPreload/approve-040/policy-check
461,251,332,7,HomeLoanService,HomeLoanWS/doPreload/approve-040/relationship
114,30,72,2,HomeLoanService,HomeLoanWS/doPreload/approve-040/sale-channel
662,410,536,2,HomeLoanService,HomeLoanWS/doPreload/approve-040/summary-package
1112,846,979,2,HomeLoanService,HomeLoanWS/doPreload/approve-040/summary-result
689,275,360,7,HomeLoanService,HomeLoanWS/doPreload/approve-040/verify-customer
723,541,620,7,HomeLoanService,HomeLoanWS/doPreload/approve-040/verify-document
465,236,332,7,HomeLoanService,HomeLoanWS/doPreload/approve-040/verify-hr
1507,396,804,6,HomeLoanService,HomeLoanWS/doPreload/approve-040/verify-income
455,259,328,6,HomeLoanService,HomeLoanWS/doPreload/approve-040/verify-summary
353,261,320,6,HomeLoanService,HomeLoanWS/doPreload/approve-040/verify-website
106,106,106,1,HomeLoanService,HomeLoanWS/doPreload/approve-055/application-detail
1444,124,851,5,HomeLoanService,HomeLoanWS/doPreload/approve-055/approve-decision
995,377,752,4,HomeLoanService,HomeLoanWS/doPreload/approve-055/approve-summary
1689,115,473,71,HomeLoanService,HomeLoanWS/doPreload/approve-055/collateral-acting
532,85,232,4,HomeLoanService,HomeLoanWS/doPreload/approve-055/cust-info
3139,163,885,9,HomeLoanService,HomeLoanWS/doPreload/approve-055/debt-exposure
479,336,407,2,HomeLoanService,HomeLoanWS/doPreload/approve-055/partial-installment
3580,19,542,49,HomeLoanService,HomeLoanWS/doPreload/approve-055/policy-check
29,24,26,2,HomeLoanService,HomeLoanWS/doPreload/approve-055/sale-channel
1589,402,1011,6,HomeLoanService,HomeLoanWS/doPreload/approve-055/summary-package
1017,924,957,3,HomeLoanService,HomeLoanWS/doPreload/approve-055/summary-result
415,345,366,4,HomeLoanService,HomeLoanWS/doPreload/approve-055/verify-customer
1865,339,657,15,HomeLoanService,HomeLoanWS/doPreload/approve-055/verify-document
940,133,458,3,HomeLoanService,HomeLoanWS/doPreload/approve-055/verify-hr
457,202,365,3,HomeLoanService,HomeLoanWS/doPreload/approve-055/verify-income
1136,115,470,4,HomeLoanService,HomeLoanWS/doPreload/approve-055/verify-summary
555,126,376,3,HomeLoanService,HomeLoanWS/doPreload/approve-055/verify-website
901,65,206,28,HomeLoanService,HomeLoanWS/doPreload/approve-060/application-detail
16460,177,1759,49,HomeLoanService,HomeLoanWS/doPreload/approve-060/approve-decision
4685,331,970,87,HomeLoanService,HomeLoanWS/doPreload/approve-060/approve-summary
245,10,45,16,HomeLoanService,HomeLoanWS/doPreload/approve-060/basic-repayment-ability
3500,117,534,42,HomeLoanService,HomeLoanWS/doPreload/approve-060/collateral-acting
2210,108,485,28,HomeLoanService,HomeLoanWS/doPreload/approve-060/credit-exposure
1053,70,263,33,HomeLoanService,HomeLoanWS/doPreload/approve-060/credit-limit-detail
2275,84,395,29,HomeLoanService,HomeLoanWS/doPreload/approve-060/cust-info
8554,125,1223,29,HomeLoanService,HomeLoanWS/doPreload/approve-060/debt-exposure
2117,92,453,16,HomeLoanService,HomeLoanWS/doPreload/approve-060/income
3658,173,838,16,HomeLoanService,HomeLoanWS/doPreload/approve-060/loan-info
6878,371,1329,37,HomeLoanService,HomeLoanWS/doPreload/approve-060/partial-installment
2254,96,470,15,HomeLoanService,HomeLoanWS/doPreload/approve-060/personal-info
5097,20,640,122,HomeLoanService,HomeLoanWS/doPreload/approve-060/policy-check
2058,94,419,33,HomeLoanService,HomeLoanWS/doPreload/approve-060/relationship
164,33,67,14,HomeLoanService,HomeLoanWS/doPreload/approve-060/sale-channel
2167,278,777,20,HomeLoanService,HomeLoanWS/doPreload/approve-060/summary-package
2536,447,961,18,HomeLoanService,HomeLoanWS/doPreload/approve-060/summary-result
